m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
16659.667969	89705.109375	9042.561523	231896.0	32299.566406	32340.867188	191807.8125	1398.14563	221.661331	394.435944	350.693451	264.027649	408.394226	32958.890625	266316.875	331.672852	8937.047852	11.665572425112844
16327.904297	102402.09375	11348.618164	294741.59375	19635.828125	22825.945313	154642.234375	1323.603271	248.758728	390.405731	465.578918	377.51236	488.588776	26612.482422	288467.09375	325.562012	10286.134766	11.689372178908494
14083.473633	102286.46875	13473.605469	445415.0	19654.773438	19612.416016	106504.3125	1400.865234	216.197617	245.711502	296.121857	281.516449	383.230011	30509.986328	515995.75	329.46936	8713.34668	11.713171932704144
16209.412109	110588.710938	14567.506836	496676.5	27867.515625	25847.513672	103730.835938	1212.911865	214.821457	286.079102	326.053497	289.134521	424.285675	33058.730469	645022.8125	384.434143	8880.001953	11.736971686499794
12661.269531	88122.570313	11039.75	324956.5625	28407.472656	29534.115234	130054.75	1380.214478	193.777557	268.410095	358.942261	192.557022	379.437347	33785.707031	563208.25	375.833099	12200.711914	11.760771440295445
14440.900391	104099.742188	7613.174316	324363.4375	21039.001953	36825.246094	118833.914063	1616.104492	181.179062	346.687836	241.042358	225.167282	348.055817	32821.472656	278749.75	406.52655	13366.882813	11.784571194091095
18444.832031	124738.085938	9876.24707	307891.21875	20878.220703	38290.25	104294.71875	1718.297241	270.122101	379.445526	210.946884	297.866638	407.763458	42003.175781	298110.28125	364.553436	9949.349609	11.808370947886747
15218.896484	119489.617188	8099.723145	271227.875	24001.716797	32409.107422	138310.390625	1612.795044	225.322922	383.492126	359.196198	352.273376	440.922577	37171.566406	293407.8125	297.268646	8787.443359	11.832170701682397
10667.0625	133240.890625	11057.616211	284702.125	24381.462891	23827.101563	198903.578125	1798.454834	331.83667	473.794952	420.615906	343.804443	312.308197	33050.164063	347289.21875	301.462677	11010.293945	11.855970455478047
10104.154297	125510.625	16494.537109	311633.59375	24438.375	25885.792969	164620.390625	2384.391113	149.863052	364.324066	399.793152	363.857147	350.890045	36896.78125	432586.5625	528.980957	14946.918945	11.879770209273698
9042.34082	121085.96875	24675.560547	280347.4375	31999.164063	21922.125	133549.171875	1938.668335	251.019577	350.128235	322.989899	360.965576	346.368347	40825.136719	390665.9375	391.200317	14837.056641	11.903569963069348
12001.527344	127473.335938	34868.734375	272946.5625	49103.863281	16295.204102	108982.109375	1978.0448	331.951355	367.649811	359.048767	316.043518	407.968262	47726.632813	312789.65625	269.163696	14435.542969	11.927369716864998
17917.673828	161940.171875	56341.640625	287145.5	38198.375	23191.777344	140059.84375	2293.293701	214.116989	288.618469	265.313721	273.324982	516.456177	69222.25	300225.8125	318.156921	13023.045898	11.951169470660648
24353.708984	154398.984375	54345.265625	294167.15625	38209.304688	29402.097656	130534.539063	2127.293457	256.507874	275.602203	266.304871	239.764496	400.41571	71609.03125	310264.09375	380.48587	15157.506836	11.974969224456299
38420.183594	149729.234375	85724.203125	298648.96875	46912.402344	40271.1875	123652.960938	2959.768555	190.345322	360.048126	394.31308	310.440552	272.251892	73592.765625	300749.0	248.693207	18494.484375	11.998768978251949
68973.25	158599.609375	181665.890625	285629.84375	65413.273438	75847.640625	149491.34375	3900.973145	290.232178	309.899902	293.541534	330.968384	323.792664	104706.585938	340212.875	445.960327	24148.101563	12.0225687320476
52226.570313	153363.65625	193186.859375	315625.5625	69676.375	107678.210938	217453.671875	3758.470215	239.58429	370.172791	284.735687	516.988586	271.981567	112583.289063	436098.96875	446.484589	20752.154297	12.04636848584325
